"name" "description"
"X20022_irnt" "Birth weight"
"X20116_0" "Smoking status: Never"
"X20116_1" "Smoking status: Previous"
"X20150_irnt" "Forced expiratory volume in 1-second (FEV1), Best measure (肺活量)"
"X20151_irnt" "Forced vital capacity (FVC), Best measure (肺活量)"
"X20153_irnt" "Forced expiratory volume in 1-second (FEV1), predicted"
"X20154_irnt" "Forced expiratory volume in 1-second (FEV1), predicted percentage"
"X20160" "Ever smoked"
"X20403" "Amount of alcohol drunk on a typical drinking day"
"X20406" "Ever addicted to alcohol"
"X20414" "Frequency of drinking alcohol"
"X20416" "Frequency of consuming six or more units of alcohol"
"X21001_irnt" "Body mass index (BMI)"
"X21002_irnt" "Weight"
"X22127" "Doctor diagnosed asthma"
"X2247_0" "Hearing difficulty/problems: No"
"X2247_1" "Hearing difficulty/problems: Yes"
"X2267" "Use of sun/uv protection"
"X23098_irnt" "Weight"
"X23099_irnt" "Body fat percentage"
"X23100_irnt" "Whole body fat mass"
"X23101_irnt" "Whole body fat-free mass"
"X23102_irnt" "Whole body water mass"
"X23104_irnt" "Body mass index (BMI)"
"X23105_irnt" "Basal metabolic rate (基础代谢率)"
"X23111_irnt" "Leg fat percentage (right)"
"X23112_irnt" "Leg fat mass (right)"
"X23113_irnt" "Leg fat-free mass (right)"
"X23114_irnt" "Leg predicted mass (right)"
"X23115_irnt" "Leg fat percentage (left)"
"X23116_irnt" "Leg fat mass (left)"
"X23117_irnt" "Leg fat-free mass (left)"
"X23118_irnt" "Leg predicted mass (left)"
"X23119_irnt" "Arm fat percentage (right)"
"X23120_irnt" "Arm fat mass (right)"
"X23121_irnt" "Arm fat-free mass (right)"
"X23122_irnt" "Arm predicted mass (right)"
"X23123_irnt" "Arm fat percentage (left)"
"X23124_irnt" "Arm fat mass (left)"
"X23125_irnt" "Arm fat-free mass (left)"
"X23126_irnt" "Arm predicted mass (left)"
"X23127_irnt" "Trunk fat percentage"
"X23128_irnt" "Trunk fat mass"
"X23129_irnt" "Trunk fat-free mass"
"X23130_irnt" "Trunk predicted mass"
"X2316" "Wheeze or whistling in the chest in last year"
"X2443" "Diabetes diagnosed by doctor"
"X2887" "Number of cigarettes previously smoked daily"
"X2986" "Started insulin within one year diagnosis of diabetes"
"X30000_irnt" "White blood cell (leukocyte) count"
"X30010_irnt" "Red blood cell (erythrocyte) count"
"X30020_irnt" "Haemoglobin concentration (血红蛋白浓度)"
"X30030_irnt" "Haematocrit percentage (血细胞比容百分比)"
"X30040_irnt" "Mean corpuscular volume (平均红细胞体积)"
"X30050_irnt" "Mean corpuscular haemoglobin (平均血红蛋白)"
"X30060_irnt" "Mean corpuscular haemoglobin concentration (平均血红蛋白浓度)"
"X30070_irnt" "Red blood cell (erythrocyte) distribution width"
"X30080_irnt" "Platelet count "
"X30090_irnt" "Platelet crit (血小板暴击)"
"X30100_irnt" "Mean platelet (thrombocyte) volume"
"X30110_irnt" "Platelet distribution width"
"X30120_irnt" "Lymphocyte count (淋巴细胞)"
"X30130_irnt" "Monocyte count (单核细胞)"
"X30140_irnt" "Neutrophill count"
"X30150" "Eosinophill count (嗜酸性粒细胞)"
"X30160" "Basophill count (嗜碱性粒细胞)"
"X30180_irnt" "Lymphocyte percentage"
"X30190_irnt" "Monocyte percentage"
"X30200_irnt" "Neutrophill percentage"
"X30210_irnt" "Eosinophill percentage"
"X30220_irnt" "Basophill percentage"
"X30240_irnt" "Reticulocyte percentage (网织红细胞)"
"X30250_irnt" "Reticulocyte count"
"X30260_irnt" "Mean reticulocyte volume"
"X30270_irnt" "Mean sphered cell volume"
"X30280_irnt" "Immature reticulocyte fraction"
"X30290_irnt" "High light scatter reticulocyte percentage"
"X30300_irnt" "High light scatter reticulocyte count"
"X3062_irnt" "Forced vital capacity (FVC)"
"X3063_irnt" "Forced expiratory volume in 1-second (FEV1)"
"X3064_irnt" "Peak expiratory flow (PEF)"
"X3144_irnt" "Heel Broadband ultrasound attenuation, direct entry"
"X3147_irnt" "Heel quantitative ultrasound index (QUI), direct entry"
"X3148_irnt" "Heel bone mineral density (BMD)"
"X3476" "Difficulty not smoking for 1 day"
"X4079_irnt" "Diastolic blood pressure, automated reading"
"X4080_irnt" "Systolic blood pressure, automated reading"
"X4101_irnt" "Heel broadband ultrasound attenuation (left)"
"X4104_irnt" "Heel quantitative ultrasound index (QUI), direct entry (left)"
"X4105_irnt" "Heel bone mineral density (BMD) (left)"
"X4106_irnt" "Heel bone mineral density (BMD) T-score, automated (left)"
"X4119_irnt" "Ankle spacing width (right)"
"X4120_irnt" "Heel broadband ultrasound attenuation (right)"
"X4123_irnt" "Heel quantitative ultrasound index (QUI), direct entry (right)"
"X4124_irnt" "Heel bone mineral density (BMD) (right)"
"X4125_irnt" "Heel bone mineral density (BMD) T-score, automated (right)"
"X4194_irnt" "Pulse rate"
"X48_irnt" "Waist circumference"
"X49_irnt" "Hip circumference"
"X50_irnt" "Standing height"
"X5983_irnt" "ECG, heart rate"
"X6033_irnt" "Maximum heart rate during fitness test"
"X6148_1" "Eye problems/disorders: Diabetes related eye disease"
"X6150_4" "Vascular/heart problems diagnosed by doctor: High blood pressure"
"X6152_5" "Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT)"
"X6152_7" "Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the lung"
"X6152_8" "Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma"
"X6154_3" "Medication for pain relief, constipation, heartburn: Paracetamol (扑热息痛)"
"X78_irnt" "Heel bone mineral density (BMD) T-score, automated"
"C_OTHER_SKIN" "Other malignant neoplasms of skin"
"C_SKIN" NA
"C3_OTHER_SKIN" "Other malignant neoplasms of skin"
"C3_SKIN" "Malignant neoplasm of skin (皮肤息肉)"
"C44" "Diagnoses - main ICD10: C44 Other malignant neoplasms of skin"
"CARDIAC_ARRHYTM" "Cardiac arrhytmias, COPD co-morbidities (心律不齐)"
"E83" "Diagnoses - main ICD10: E83 Disorders of mineral metabolism"
"I21" "Diagnoses - main ICD10: I21 Acute myocardial infarction (心肌梗塞)"
"I25" "Diagnoses - main ICD10: I25 Chronic ischaemic heart disease (冠心病)"
"I26" "Diagnoses - main ICD10: I26 Pulmonary embolism (肺栓塞)"
"I48" "Diagnoses - main ICD10: I48 Atrial fibrillation and flutter (心房扑动)"
"I80" "Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis (表浅性血栓静脉炎)"
"I83" "Diagnoses - main ICD10: I83 Varicose veins of lower extremities (下肢静脉曲张)"
"I9_CHD" "Major coronary heart disease event"
"I9_CHD_NOREV" "Major coronary heart disease event excluding revascularizations (排除 血运重建)"
"I9_CORATHER" "Coronary atherosclerosis (冠状动脉疾病)"
"I9_DISVEINLYMPH" "Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
"I9_DVTANDPULM" "DVT of lower extremities and pulmonary embolism"
"I9_IHD" "Ischaemic heart disease, wide definition (缺血型心脏病)"
"I9_MI" "Myocardial infarction (心肌梗塞)"
"I9_MI_STRICT" "Myocardial infarction, strict (狭义心肌梗塞)"
"I9_PHLETHROMBDVTLOW" "DVT of lower extremities (深静脉血栓)"
"I9_VTE" "Venous thromboembolism (肺栓塞+深层静脉血栓)"
"I95" "Diagnoses - main ICD10: I95 Hypotension (低血压)"
"IX_CIRCULATORY" "Diseases of the circulatory system"
"OTHER_ILD_CVD_COMORB" "Other ILD-related CVD-co-morbidities"
